iter	Passed	Remaining
0	4	877
1	5	588
2	7	474
3	8	438
4	9	388
5	11	363
6	12	339
7	13	327
8	14	313
9	15	301
10	17	295
11	18	286
12	19	277
13	20	268
14	21	261
15	22	258
16	23	256
17	24	252
18	25	247
19	26	242
20	27	237
21	28	234
22	30	231
23	31	227
24	31	223
25	32	220
26	33	217
27	35	215
28	36	213
29	37	210
30	38	208
31	39	206
32	40	204
33	41	202
34	42	200
35	43	197
36	44	195
37	45	193
38	46	191
39	47	190
40	48	188
41	49	186
42	50	184
43	51	182
44	53	183
45	54	183
46	56	182
47	57	180
48	58	179
49	59	177
50	60	176
51	62	177
52	63	176
53	64	175
54	65	173
55	66	172
56	68	170
57	69	169
58	70	167
59	71	165
60	72	164
61	73	162
62	74	161
63	75	159
64	76	158
65	77	156
66	78	155
67	79	153
68	80	152
69	81	151
70	82	149
71	83	148
72	84	147
73	85	145
74	86	144
75	87	142
76	88	141
77	89	139
78	90	139
79	91	137
80	92	136
81	93	135
82	94	133
83	95	132
84	97	131
85	98	130
86	99	128
87	100	127
88	101	126
89	102	125
90	104	124
91	105	124
92	106	122
93	107	121
94	108	120
95	109	118
96	111	118
97	113	117
98	114	116
99	115	115
100	117	115
101	118	113
102	120	113
103	121	112
104	123	111
105	124	110
106	126	109
107	127	108
108	129	107
109	130	106
110	131	105
111	132	103
112	133	102
113	135	101
114	137	101
115	139	100
116	140	99
117	141	98
118	143	97
119	144	96
120	145	94
121	146	93
122	147	92
123	148	90
124	149	89
125	151	88
126	152	87
127	153	86
128	155	85
129	156	84
130	157	82
131	158	81
132	159	80
133	160	79
134	161	77
135	163	77
136	165	76
137	166	74
138	167	73
139	169	72
140	170	71
141	172	70
142	174	69
143	175	68
144	177	67
145	179	66
146	181	65
147	182	64
148	183	62
149	184	61
150	185	60
151	187	59
152	188	57
153	189	56
154	190	55
155	192	54
156	193	53
157	194	51
158	196	50
159	197	49
160	198	48
161	199	46
162	200	45
163	201	44
164	202	42
165	203	41
166	204	40
167	205	39
168	206	37
169	207	36
170	208	35
171	209	34
172	210	32
173	211	31
174	212	30
175	213	29
176	214	27
177	215	26
178	216	25
179	217	24
180	218	22
181	219	21
182	220	20
183	221	19
184	222	18
185	223	16
186	225	15
187	226	14
188	227	13
189	228	12
190	229	10
191	230	9
192	231	8
193	233	7
194	234	6
195	235	4
196	237	3
197	238	2
198	239	1
199	240	0
